/usr/bin/python2.7 /home/symbolk/PycharmProjects/Expr_Var_Predicting/XGBoost_var/main.py
Training var model for guava_...
Dataset size: (7808, 12)
Class number: 2
Training set size: (6246, 8)
Validating set size: (1562, 8)
Positive examples : 2890
Negative examples : 4918
Preprossing finished, time cost : 0:00:00.271879
Data splited and saved in ../input/guava/var/guava_.var_train.csv and ../input/guava/var/guava_.var_valid.csv
Training set size: (7808, 9)
Validataion set size: (1562, 9)
Training the model...
[0]	train-error:0.189037	eval-error:0.165813
Multiple eval metrics have been passed: 'eval-error' will be used for early stopping.

Will train until eval-error hasn't improved in 100 rounds.
[286]	train-error:0.092725	eval-error:0.088348
[287]	train-error:0.092597	eval-error:0.087708
[288]	train-error:0.092725	eval-error:0.088988
[289]	train-error:0.092341	eval-error:0.088988
[290]	train-error:0.092469	eval-error:0.088348
[291]	train-error:0.092469	eval-error:0.088988
[292]	train-error:0.092213	eval-error:0.088348
[293]	train-error:0.092725	eval-error:0.088988
[294]	train-error:0.092469	eval-error:0.088988
[295]	train-error:0.091701	eval-error:0.087708
[296]	train-error:0.091829	eval-error:0.088348
[297]	train-error:0.091957	eval-error:0.088988
[298]	train-error:0.091701	eval-error:0.088348
[299]	train-error:0.091701	eval-error:0.090909
[300]	train-error:0.091573	eval-error:0.088348
[301]	train-error:0.091445	eval-error:0.087708
[302]	train-error:0.091445	eval-error:0.087068
[303]	train-error:0.091317	eval-error:0.087068
[304]	train-error:0.091317	eval-error:0.087708
[305]	train-error:0.091189	eval-error:0.088348
[306]	train-error:0.091829	eval-error:0.088988
[307]	train-error:0.091829	eval-error:0.088988
[308]	train-error:0.091573	eval-error:0.088988
[309]	train-error:0.091957	eval-error:0.089629
[310]	train-error:0.091701	eval-error:0.089629
[311]	train-error:0.091701	eval-error:0.087708
[312]	train-error:0.091701	eval-error:0.087708
[313]	train-error:0.091573	eval-error:0.087708
[314]	train-error:0.091445	eval-error:0.087068
[315]	train-error:0.091445	eval-error:0.088988
[316]	train-error:0.091317	eval-error:0.088348
[317]	train-error:0.091829	eval-error:0.088348
[318]	train-error:0.091189	eval-error:0.087708
[319]	train-error:0.091317	eval-error:0.087708
[320]	train-error:0.09042	eval-error:0.086428
[321]	train-error:0.09042	eval-error:0.085787
[322]	train-error:0.090548	eval-error:0.085787
[323]	train-error:0.090548	eval-error:0.085147
[324]	train-error:0.090292	eval-error:0.085147
[325]	train-error:0.090164	eval-error:0.085147
[326]	train-error:0.09042	eval-error:0.085787
[327]	train-error:0.090164	eval-error:0.085147
[328]	train-error:0.089652	eval-error:0.082586
[329]	train-error:0.08978	eval-error:0.084507
[330]	train-error:0.089652	eval-error:0.084507
[331]	train-error:0.090036	eval-error:0.087068
[332]	train-error:0.08978	eval-error:0.086428
[333]	train-error:0.08978	eval-error:0.085787
[334]	train-error:0.089524	eval-error:0.084507
[335]	train-error:0.089652	eval-error:0.086428
[336]	train-error:0.089652	eval-error:0.085787
[337]	train-error:0.089267	eval-error:0.085147
[338]	train-error:0.089267	eval-error:0.083867
[339]	train-error:0.089395	eval-error:0.085147
[340]	train-error:0.089395	eval-error:0.085787
[341]	train-error:0.089267	eval-error:0.083867
[342]	train-error:0.089395	eval-error:0.084507
[343]	train-error:0.089395	eval-error:0.083867
[344]	train-error:0.089524	eval-error:0.085147
[345]	train-error:0.089524	eval-error:0.085147
[346]	train-error:0.089139	eval-error:0.085147
[347]	train-error:0.089139	eval-error:0.084507
[348]	train-error:0.089524	eval-error:0.085147
[349]	train-error:0.08978	eval-error:0.085147
[350]	train-error:0.089524	eval-error:0.085787
[351]	train-error:0.08978	eval-error:0.087068
[352]	train-error:0.089652	eval-error:0.085147
[353]	train-error:0.089652	eval-error:0.085147
[354]	train-error:0.08978	eval-error:0.085787
[355]	train-error:0.088883	eval-error:0.085147
[356]	train-error:0.089011	eval-error:0.085787
[357]	train-error:0.089652	eval-error:0.086428
[358]	train-error:0.089524	eval-error:0.086428
[359]	train-error:0.089524	eval-error:0.085147
[360]	train-error:0.089908	eval-error:0.084507
[361]	train-error:0.089267	eval-error:0.084507
[362]	train-error:0.089139	eval-error:0.084507
[363]	train-error:0.088627	eval-error:0.083867
[364]	train-error:0.088499	eval-error:0.083867
[365]	train-error:0.088627	eval-error:0.084507
[366]	train-error:0.088883	eval-error:0.084507
[367]	train-error:0.089011	eval-error:0.084507
[368]	train-error:0.089267	eval-error:0.084507
[369]	train-error:0.088627	eval-error:0.085787
[370]	train-error:0.089139	eval-error:0.085147
[371]	train-error:0.088883	eval-error:0.083227
[372]	train-error:0.089011	eval-error:0.085147
[373]	train-error:0.088883	eval-error:0.083867
[374]	train-error:0.088755	eval-error:0.083227
[375]	train-error:0.088755	eval-error:0.084507
[376]	train-error:0.089267	eval-error:0.085787
[377]	train-error:0.089267	eval-error:0.085147
[378]	train-error:0.088883	eval-error:0.084507
[379]	train-error:0.089139	eval-error:0.085787
[380]	train-error:0.089395	eval-error:0.086428
[381]	train-error:0.089524	eval-error:0.087068
[382]	train-error:0.088883	eval-error:0.083867
[383]	train-error:0.088883	eval-error:0.083867
[384]	train-error:0.088627	eval-error:0.083227
[385]	train-error:0.088755	eval-error:0.083867
[386]	train-error:0.088627	eval-error:0.083867
[387]	train-error:0.088627	eval-error:0.083867
[388]	train-error:0.088499	eval-error:0.083867
[389]	train-error:0.088371	eval-error:0.083227
[390]	train-error:0.088371	eval-error:0.083227
[391]	train-error:0.088371	eval-error:0.081946
[392]	train-error:0.088371	eval-error:0.082586
[393]	train-error:0.088243	eval-error:0.082586
[394]	train-error:0.088115	eval-error:0.082586
[395]	train-error:0.088371	eval-error:0.082586
[396]	train-error:0.088243	eval-error:0.082586
[397]	train-error:0.087346	eval-error:0.081946
[398]	train-error:0.087474	eval-error:0.082586
[399]	train-error:0.087474	eval-error:0.081306
[400]	train-error:0.087474	eval-error:0.081946
[401]	train-error:0.086962	eval-error:0.081306
[402]	train-error:0.086962	eval-error:0.081306
[403]	train-error:0.086962	eval-error:0.080666
[404]	train-error:0.086706	eval-error:0.080666
[405]	train-error:0.08709	eval-error:0.080666
[406]	train-error:0.086578	eval-error:0.081306
[407]	train-error:0.086578	eval-error:0.080666
[408]	train-error:0.086706	eval-error:0.081306
[409]	train-error:0.086706	eval-error:0.081306
[410]	train-error:0.086578	eval-error:0.081306
[411]	train-error:0.086706	eval-error:0.081306
[412]	train-error:0.086322	eval-error:0.080666
[413]	train-error:0.086194	eval-error:0.081306
[414]	train-error:0.086194	eval-error:0.081946
[415]	train-error:0.086578	eval-error:0.081946
[416]	train-error:0.086578	eval-error:0.082586
[417]	train-error:0.086194	eval-error:0.083227
[418]	train-error:0.086194	eval-error:0.081946
[419]	train-error:0.086066	eval-error:0.081306
[420]	train-error:0.086194	eval-error:0.081306
[421]	train-error:0.086194	eval-error:0.081306
[422]	train-error:0.086194	eval-error:0.081306
[423]	train-error:0.086194	eval-error:0.081306
[424]	train-error:0.086194	eval-error:0.081306
[425]	train-error:0.086066	eval-error:0.081946
[426]	train-error:0.085681	eval-error:0.082586
[427]	train-error:0.085809	eval-error:0.082586
[428]	train-error:0.086066	eval-error:0.082586
[429]	train-error:0.086066	eval-error:0.082586
[430]	train-error:0.086066	eval-error:0.082586
[431]	train-error:0.085938	eval-error:0.082586
[432]	train-error:0.085938	eval-error:0.082586
[433]	train-error:0.086194	eval-error:0.082586
[434]	train-error:0.086066	eval-error:0.081946
[435]	train-error:0.086066	eval-error:0.081946
[436]	train-error:0.085938	eval-error:0.082586
[437]	train-error:0.085809	eval-error:0.082586
[438]	train-error:0.085938	eval-error:0.081946
[439]	train-error:0.085938	eval-error:0.081946
[440]	train-error:0.085809	eval-error:0.081306
[441]	train-error:0.086194	eval-error:0.081946
[442]	train-error:0.086194	eval-error:0.081946
[443]	train-error:0.086194	eval-error:0.081946
[444]	train-error:0.086066	eval-error:0.081306
[445]	train-error:0.086066	eval-error:0.081946
[446]	train-error:0.086194	eval-error:0.081946
[447]	train-error:0.086194	eval-error:0.081946
[448]	train-error:0.086066	eval-error:0.081946
