/usr/bin/python2.7 /home/symbolk/PycharmProjects/Expr_Var_Predicting/XGBoost_var/main.py
Training var model for RxJava_...
Dataset size: (5253, 12)
Class number: 2
Training set size: (4202, 8)
Validating set size: (1051, 8)
Positive examples : 2001
Negative examples : 3252
Preprossing finished, time cost : 0:00:00.067141
Data splited and saved in ../input/RxJava/var/RxJava_.var_train.csv and ../input/RxJava/var/RxJava_.var_valid.csv
Training set size: (5253, 9)
Validataion set size: (1051, 9)
Model file already exists and be removed.
Training the model...
[0]	train-error:0.233581	eval-error:0.2255
Multiple eval metrics have been passed: 'eval-error' will be used for early stopping.

Will train until eval-error hasn't improved in 100 rounds.
[331]	train-error:0.108319	eval-error:0.111323
[332]	train-error:0.108129	eval-error:0.112274
[333]	train-error:0.107748	eval-error:0.110371
[334]	train-error:0.107558	eval-error:0.111323
[335]	train-error:0.107367	eval-error:0.111323
[336]	train-error:0.107367	eval-error:0.108468
[337]	train-error:0.107367	eval-error:0.10942
[338]	train-error:0.107558	eval-error:0.10942
[339]	train-error:0.107558	eval-error:0.108468
[340]	train-error:0.107367	eval-error:0.106565
[341]	train-error:0.107177	eval-error:0.104662
[342]	train-error:0.107558	eval-error:0.104662
[343]	train-error:0.107177	eval-error:0.104662
[344]	train-error:0.106796	eval-error:0.103711
[345]	train-error:0.106986	eval-error:0.103711
[346]	train-error:0.106606	eval-error:0.103711
[347]	train-error:0.106986	eval-error:0.104662
[348]	train-error:0.107177	eval-error:0.104662
[349]	train-error:0.106796	eval-error:0.103711
[350]	train-error:0.107367	eval-error:0.104662
[351]	train-error:0.107558	eval-error:0.104662
[352]	train-error:0.106796	eval-error:0.103711
[353]	train-error:0.106986	eval-error:0.104662
[354]	train-error:0.106986	eval-error:0.103711
[355]	train-error:0.107177	eval-error:0.102759
[356]	train-error:0.107177	eval-error:0.102759
[357]	train-error:0.106796	eval-error:0.102759
[358]	train-error:0.106986	eval-error:0.102759
[359]	train-error:0.107367	eval-error:0.103711
[360]	train-error:0.107558	eval-error:0.102759
[361]	train-error:0.107367	eval-error:0.102759
[362]	train-error:0.107367	eval-error:0.103711
[363]	train-error:0.107558	eval-error:0.103711
[364]	train-error:0.106986	eval-error:0.102759
[365]	train-error:0.106986	eval-error:0.102759
[366]	train-error:0.106986	eval-error:0.102759
[367]	train-error:0.106415	eval-error:0.102759
[368]	train-error:0.106606	eval-error:0.103711
[369]	train-error:0.106796	eval-error:0.101808
[370]	train-error:0.106796	eval-error:0.101808
[371]	train-error:0.106606	eval-error:0.102759
[372]	train-error:0.106606	eval-error:0.102759
[373]	train-error:0.106606	eval-error:0.102759
[374]	train-error:0.106225	eval-error:0.103711
[375]	train-error:0.106415	eval-error:0.102759
[376]	train-error:0.106606	eval-error:0.101808
[377]	train-error:0.106415	eval-error:0.101808
[378]	train-error:0.105844	eval-error:0.101808
[379]	train-error:0.106796	eval-error:0.102759
[380]	train-error:0.106606	eval-error:0.103711
[381]	train-error:0.106606	eval-error:0.102759
[382]	train-error:0.106415	eval-error:0.101808
[383]	train-error:0.106415	eval-error:0.102759
[384]	train-error:0.106415	eval-error:0.101808
[385]	train-error:0.106796	eval-error:0.102759
[386]	train-error:0.106796	eval-error:0.101808
[387]	train-error:0.106415	eval-error:0.104662
[388]	train-error:0.106415	eval-error:0.103711
[389]	train-error:0.106415	eval-error:0.104662
[390]	train-error:0.106415	eval-error:0.104662
[391]	train-error:0.106606	eval-error:0.103711
[392]	train-error:0.106415	eval-error:0.103711
[393]	train-error:0.106225	eval-error:0.102759
[394]	train-error:0.106035	eval-error:0.101808
[395]	train-error:0.105654	eval-error:0.100856
[396]	train-error:0.105654	eval-error:0.101808
[397]	train-error:0.105464	eval-error:0.102759
[398]	train-error:0.105273	eval-error:0.100856
[399]	train-error:0.105464	eval-error:0.101808
[400]	train-error:0.106035	eval-error:0.102759
[401]	train-error:0.106035	eval-error:0.101808
[402]	train-error:0.106035	eval-error:0.101808
[403]	train-error:0.105844	eval-error:0.101808
[404]	train-error:0.106225	eval-error:0.100856
[405]	train-error:0.106035	eval-error:0.101808
[406]	train-error:0.105844	eval-error:0.100856
[407]	train-error:0.105654	eval-error:0.100856
[408]	train-error:0.106035	eval-error:0.100856
[409]	train-error:0.106225	eval-error:0.100856
[410]	train-error:0.106225	eval-error:0.099905
[411]	train-error:0.105844	eval-error:0.099905
[412]	train-error:0.105844	eval-error:0.100856
[413]	train-error:0.105654	eval-error:0.100856
[414]	train-error:0.105654	eval-error:0.098953
[415]	train-error:0.105844	eval-error:0.099905
[416]	train-error:0.105844	eval-error:0.098953
[417]	train-error:0.105844	eval-error:0.098002
[418]	train-error:0.105654	eval-error:0.099905
