/usr/bin/python2.7 /home/symbolk/PycharmProjects/Expr_Var_Predicting/XGBoost_var/main.py
Training var model for chart_26...
Dataset size: (55252, 12)
Class number: 2
Training set size: (44201, 8)
Validating set size: (11051, 8)
Positive examples : 10241
Negative examples : 45011
Preprossing finished, time cost : 0:00:01.476552
Data splited and saved in ../input/chart/var/chart_26.var_train.csv and ../input/chart/var/chart_26.var_valid.csv
Training set size: (55252, 9)
Validataion set size: (11051, 9)
Training the model...
[0]	train-error:0.114819	eval-error:0.116189
Multiple eval metrics have been passed: 'eval-error' will be used for early stopping.

Will train until eval-error hasn't improved in 100 rounds.
[246]	train-error:0.077626	eval-error:0.079359
[247]	train-error:0.077626	eval-error:0.079178
[248]	train-error:0.077554	eval-error:0.079359
[249]	train-error:0.077554	eval-error:0.07945
[250]	train-error:0.077499	eval-error:0.07945
[251]	train-error:0.077445	eval-error:0.079269
[252]	train-error:0.077518	eval-error:0.07945
[253]	train-error:0.077499	eval-error:0.07954
[254]	train-error:0.077481	eval-error:0.079359
[255]	train-error:0.077373	eval-error:0.079088
[256]	train-error:0.077264	eval-error:0.078816
[257]	train-error:0.077282	eval-error:0.078816
[258]	train-error:0.077065	eval-error:0.078635
[259]	train-error:0.077065	eval-error:0.078635
[260]	train-error:0.077119	eval-error:0.078726
[261]	train-error:0.077065	eval-error:0.078726
[262]	train-error:0.077011	eval-error:0.078816
[263]	train-error:0.076956	eval-error:0.078454
[264]	train-error:0.076975	eval-error:0.078454
[265]	train-error:0.076993	eval-error:0.078635
[266]	train-error:0.076956	eval-error:0.078545
[267]	train-error:0.07692	eval-error:0.078726
[268]	train-error:0.076866	eval-error:0.078726
[269]	train-error:0.076866	eval-error:0.078545
[270]	train-error:0.076775	eval-error:0.078364
[271]	train-error:0.07683	eval-error:0.078545
[272]	train-error:0.076757	eval-error:0.078545
[273]	train-error:0.076775	eval-error:0.078545
[274]	train-error:0.076685	eval-error:0.078635
[275]	train-error:0.076649	eval-error:0.078635
[276]	train-error:0.076631	eval-error:0.078545
[277]	train-error:0.076631	eval-error:0.078545
[278]	train-error:0.07654	eval-error:0.078183
[279]	train-error:0.076522	eval-error:0.078092
[280]	train-error:0.076576	eval-error:0.078273
[281]	train-error:0.076468	eval-error:0.078183
[282]	train-error:0.076323	eval-error:0.078183
[283]	train-error:0.076414	eval-error:0.078454
[284]	train-error:0.076214	eval-error:0.077912
[285]	train-error:0.076305	eval-error:0.078002
[286]	train-error:0.076269	eval-error:0.077821
[287]	train-error:0.076269	eval-error:0.078273
[288]	train-error:0.076124	eval-error:0.078092
[289]	train-error:0.07616	eval-error:0.077912
[290]	train-error:0.076196	eval-error:0.078092
[291]	train-error:0.076124	eval-error:0.077912
[292]	train-error:0.076015	eval-error:0.077912
[293]	train-error:0.076015	eval-error:0.077821
[294]	train-error:0.075997	eval-error:0.077821
[295]	train-error:0.076033	eval-error:0.077731
[296]	train-error:0.075979	eval-error:0.07764
[297]	train-error:0.075979	eval-error:0.077459
[298]	train-error:0.075889	eval-error:0.077097
[299]	train-error:0.075943	eval-error:0.077188
[300]	train-error:0.075943	eval-error:0.077097
[301]	train-error:0.075907	eval-error:0.077188
[302]	train-error:0.075907	eval-error:0.077007
[303]	train-error:0.075744	eval-error:0.076735
[304]	train-error:0.075762	eval-error:0.076645
[305]	train-error:0.075635	eval-error:0.076554
[306]	train-error:0.075671	eval-error:0.076645
[307]	train-error:0.075617	eval-error:0.076464
[308]	train-error:0.075653	eval-error:0.076645
[309]	train-error:0.075617	eval-error:0.076554
[310]	train-error:0.075617	eval-error:0.076916
[311]	train-error:0.075599	eval-error:0.076916
[312]	train-error:0.075599	eval-error:0.076826
[313]	train-error:0.075653	eval-error:0.077097
[314]	train-error:0.075527	eval-error:0.077097
