id	line	column	filename	methodname	varname	vartype	lastassign	isparam	incondnum	bodyuse	if
45	11004	12	Observable.java	switchMap	v	T	call()	0	1	NO_USE	1
45	11004	12	Observable.java	switchMap	mapper	Function<? super T,? extends ObservableSource<? extends R>>	PARAM_AS	1	0	NO_USE	0
45	11004	12	Observable.java	switchMap	bufferSize	int	PARAM_AS	1	0	NO_USE	0
45	11004	12	Observable.java	switchMap	THIS	Observable	UNKNOWN_AS	0	0	CLALLER_USE	0
46	11132	8	Observable.java	switchMapDelayError	mapper	Function<? super T,? extends ObservableSource<? extends R>>	PARAM_AS	1	0	PARAM_USE	0
46	11132	8	Observable.java	switchMapDelayError	bufferSize	int	PARAM_AS	1	0	NO_USE	0
46	11132	8	Observable.java	switchMapDelayError	THIS	Observable	UNKNOWN_AS	0	0	CLALLER_USE	0
47	11135	12	Observable.java	switchMapDelayError	v	T	call()	0	1	NO_USE	1
47	11135	12	Observable.java	switchMapDelayError	mapper	Function<? super T,? extends ObservableSource<? extends R>>	PARAM_AS	1	0	NO_USE	0
47	11135	12	Observable.java	switchMapDelayError	bufferSize	int	PARAM_AS	1	0	NO_USE	0
47	11135	12	Observable.java	switchMapDelayError	THIS	Observable	UNKNOWN_AS	0	0	CLALLER_USE	0
48	11166	8	Observable.java	take	count	long	PARAM_AS	1	1	+	1
48	11166	8	Observable.java	take	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
49	11242	8	Observable.java	takeLast	count	int	PARAM_AS	1	3	+	1
49	11242	8	Observable.java	takeLast	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
50	11245	8	Observable.java	takeLast	count	int	PARAM_AS	1	3	==	1
50	11245	8	Observable.java	takeLast	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
51	11248	8	Observable.java	takeLast	count	int	PARAM_AS	1	3	NO_USE	1
51	11248	8	Observable.java	takeLast	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
52	11350	8	Observable.java	takeLast	count	long	PARAM_AS	1	1	+	1
52	11350	8	Observable.java	takeLast	time	long	PARAM_AS	1	0	NO_USE	0
52	11350	8	Observable.java	takeLast	unit	TimeUnit	PARAM_AS	1	0	NO_USE	0
52	11350	8	Observable.java	takeLast	scheduler	Scheduler	PARAM_AS	1	0	NO_USE	0
52	11350	8	Observable.java	takeLast	delayError	boolean	PARAM_AS	1	0	NO_USE	0
52	11350	8	Observable.java	takeLast	bufferSize	int	PARAM_AS	1	0	NO_USE	0
52	11350	8	Observable.java	takeLast	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
53	13724	8	Observable.java	test	ts	TestObserver<T>	CLASS_INSTANCE_CREATION	0	0	CLALLER_USE	0
53	13724	8	Observable.java	test	dispose	boolean	PARAM_AS	1	0	NO_USE	1
53	13724	8	Observable.java	test	THIS	Observable	UNKNOWN_AS	0	0	NO_USE	0
54	121	8	TestSubscriber.java	TestSubscriber	actual	Subscriber<? super T>	PARAM_AS	1	0	NO_USE	0
54	121	8	TestSubscriber.java	TestSubscriber	initialRequest	long	PARAM_AS	1	1	NO_USE	1
54	121	8	TestSubscriber.java	TestSubscriber	THIS	TestSubscriber	UNKNOWN_AS	0	0	NO_USE	0
55	134	8	TestSubscriber.java	onSubscribe	s	Subscription	PARAM_AS	1	3	NO_USE	1
55	134	8	TestSubscriber.java	onSubscribe	THIS	TestSubscriber	currentThread()	0	4	FIELD_USE	0
56	138	8	TestSubscriber.java	onSubscribe	s	Subscription	PARAM_AS	1	3	CLALLER_USE	1
56	138	8	TestSubscriber.java	onSubscribe	THIS	TestSubscriber	currentThread()	0	4	FIELD_USE	1
57	140	12	TestSubscriber.java	onSubscribe	s	Subscription	PARAM_AS	1	3	+	0
57	140	12	TestSubscriber.java	onSubscribe	THIS	TestSubscriber	currentThread()	0	4	FIELD_USE	1
58	146	8	TestSubscriber.java	onSubscribe	s	Subscription	PARAM_AS	1	3	OTHER_USE	0
58	146	8	TestSubscriber.java	onSubscribe	THIS	TestSubscriber	currentThread()	0	4	FIELD_USE	1
59	147	12	TestSubscriber.java	onSubscribe	s	Subscription	PARAM_AS	1	3	OTHER_USE	1
59	147	12	TestSubscriber.java	onSubscribe	THIS	TestSubscriber	currentThread()	0	4	FIELD_USE	0
60	153	16	TestSubscriber.java	onSubscribe	m	int	requestFusion()	0	1	NO_USE	1
60	153	16	TestSubscriber.java	onSubscribe	s	Subscription	PARAM_AS	1	3	NO_USE	0
60	153	16	TestSubscriber.java	onSubscribe	THIS	TestSubscriber	NAME	0	4	FIELD_USE	0
61	175	8	TestSubscriber.java	onSubscribe	mr	long	getAndSet()	0	1	PARAM_USE	1
