/usr/bin/python2.7 /home/symbolk/PycharmProjects/Expr_Var_Predicting/XGBoost_var/main.py
Training var model for dubbo_...
Dataset size: (8237, 12)
Class number: 2
Training set size: (6589, 8)
Validating set size: (1648, 8)
Positive examples : 1794
Negative examples : 6443
Preprossing finished, time cost : 0:00:00.046412
Data splited and saved in ../input/dubbo/var/dubbo_.var_train.csv and ../input/dubbo/var/dubbo_.var_valid.csv
Training set size: (8237, 9)
Validataion set size: (1648, 9)
Model file already exists and be removed.
Training the model...
[0]	train-error:0.134029	eval-error:0.14017
Multiple eval metrics have been passed: 'eval-error' will be used for early stopping.

Will train until eval-error hasn't improved in 100 rounds.
[310]	train-error:0.064708	eval-error:0.077063
[311]	train-error:0.064708	eval-error:0.077063
[312]	train-error:0.064829	eval-error:0.077063
[313]	train-error:0.064708	eval-error:0.076456
[314]	train-error:0.064708	eval-error:0.076456
[315]	train-error:0.064708	eval-error:0.076456
[316]	train-error:0.064587	eval-error:0.076456
[317]	train-error:0.064708	eval-error:0.07767
[318]	train-error:0.064829	eval-error:0.077063
[319]	train-error:0.064708	eval-error:0.077063
[320]	train-error:0.064708	eval-error:0.077063
[321]	train-error:0.064587	eval-error:0.076456
[322]	train-error:0.064708	eval-error:0.077063
[323]	train-error:0.064587	eval-error:0.076456
[324]	train-error:0.064465	eval-error:0.07585
[325]	train-error:0.064101	eval-error:0.07585
[326]	train-error:0.064222	eval-error:0.07585
[327]	train-error:0.064222	eval-error:0.075243
[328]	train-error:0.064344	eval-error:0.07585
[329]	train-error:0.064222	eval-error:0.07585
[330]	train-error:0.064344	eval-error:0.07585
[331]	train-error:0.064708	eval-error:0.07585
[332]	train-error:0.064465	eval-error:0.075243
[333]	train-error:0.064465	eval-error:0.075243
[334]	train-error:0.064344	eval-error:0.075243
[335]	train-error:0.064587	eval-error:0.07585
[336]	train-error:0.064587	eval-error:0.076456
[337]	train-error:0.064344	eval-error:0.07585
[338]	train-error:0.064222	eval-error:0.07585
[339]	train-error:0.064344	eval-error:0.075243
[340]	train-error:0.064101	eval-error:0.07585
[341]	train-error:0.064222	eval-error:0.07585
[342]	train-error:0.064222	eval-error:0.076456
[343]	train-error:0.064222	eval-error:0.07585
[344]	train-error:0.064344	eval-error:0.076456
[345]	train-error:0.064222	eval-error:0.076456
[346]	train-error:0.06398	eval-error:0.07585
[347]	train-error:0.06398	eval-error:0.075243
[348]	train-error:0.064101	eval-error:0.075243
[349]	train-error:0.064222	eval-error:0.074636
[350]	train-error:0.064101	eval-error:0.074636
[351]	train-error:0.06398	eval-error:0.074636
[352]	train-error:0.06398	eval-error:0.075243
[353]	train-error:0.064101	eval-error:0.075243
[354]	train-error:0.064101	eval-error:0.075243
[355]	train-error:0.064101	eval-error:0.075243
[356]	train-error:0.063858	eval-error:0.07585
[357]	train-error:0.063858	eval-error:0.07585
[358]	train-error:0.063494	eval-error:0.07585
[359]	train-error:0.063737	eval-error:0.07585
[360]	train-error:0.063615	eval-error:0.07585
[361]	train-error:0.063737	eval-error:0.07585
[362]	train-error:0.063615	eval-error:0.07585
[363]	train-error:0.063737	eval-error:0.07585
[364]	train-error:0.063615	eval-error:0.07585
[365]	train-error:0.063494	eval-error:0.075243
[366]	train-error:0.063373	eval-error:0.075243
[367]	train-error:0.063373	eval-error:0.075243
[368]	train-error:0.063251	eval-error:0.075243
[369]	train-error:0.063373	eval-error:0.075243
[370]	train-error:0.063494	eval-error:0.07585
[371]	train-error:0.063615	eval-error:0.07767
[372]	train-error:0.063615	eval-error:0.077063
[373]	train-error:0.063737	eval-error:0.07767
[374]	train-error:0.063615	eval-error:0.07767
[375]	train-error:0.063494	eval-error:0.076456
[376]	train-error:0.063737	eval-error:0.076456
[377]	train-error:0.063251	eval-error:0.074636
[378]	train-error:0.063251	eval-error:0.075243
[379]	train-error:0.06313	eval-error:0.074636
[380]	train-error:0.063373	eval-error:0.074636
[381]	train-error:0.063373	eval-error:0.074636
[382]	train-error:0.063494	eval-error:0.074636
[383]	train-error:0.063494	eval-error:0.074636
[384]	train-error:0.06313	eval-error:0.075243
[385]	train-error:0.06313	eval-error:0.075243
[386]	train-error:0.063251	eval-error:0.075243
[387]	train-error:0.063251	eval-error:0.075243
[388]	train-error:0.063251	eval-error:0.075243
[389]	train-error:0.063251	eval-error:0.075243
[390]	train-error:0.06313	eval-error:0.07585
[391]	train-error:0.063008	eval-error:0.07585
[392]	train-error:0.062887	eval-error:0.075243
[393]	train-error:0.062887	eval-error:0.074636
[394]	train-error:0.062766	eval-error:0.075243
[395]	train-error:0.062766	eval-error:0.07585
[396]	train-error:0.062401	eval-error:0.07585
[397]	train-error:0.062523	eval-error:0.074636
[398]	train-error:0.062523	eval-error:0.074636
[399]	train-error:0.062523	eval-error:0.07585
[400]	train-error:0.062523	eval-error:0.07585
[401]	train-error:0.062766	eval-error:0.075243
[402]	train-error:0.062766	eval-error:0.07585
[403]	train-error:0.062401	eval-error:0.076456
[404]	train-error:0.062523	eval-error:0.07585
[405]	train-error:0.062523	eval-error:0.07585
[406]	train-error:0.062523	eval-error:0.075243
[407]	train-error:0.062523	eval-error:0.074636
[408]	train-error:0.062644	eval-error:0.07585
[409]	train-error:0.062523	eval-error:0.076456
[410]	train-error:0.062401	eval-error:0.076456
[411]	train-error:0.062523	eval-error:0.07585
[412]	train-error:0.062401	eval-error:0.07585
[413]	train-error:0.062159	eval-error:0.076456
[414]	train-error:0.062037	eval-error:0.076456
[415]	train-error:0.062159	eval-error:0.076456
[416]	train-error:0.062523	eval-error:0.076456
[417]	train-error:0.062523	eval-error:0.077063
[418]	train-error:0.06228	eval-error:0.076456
[419]	train-error:0.062644	eval-error:0.07585
[420]	train-error:0.062523	eval-error:0.075243
[421]	train-error:0.062523	eval-error:0.07585
[422]	train-error:0.062644	eval-error:0.075243
[423]	train-error:0.062523	eval-error:0.075243
[424]	train-error:0.062523	eval-error:0.074636
[425]	train-error:0.062523	eval-error:0.074636
[426]	train-error:0.062523	eval-error:0.074636
[427]	train-error:0.062644	eval-error:0.07585
[428]	train-error:0.062644	eval-error:0.075243
[429]	train-error:0.062523	eval-error:0.07585
[430]	train-error:0.062887	eval-error:0.077063
[431]	train-error:0.062887	eval-error:0.077063
[432]	train-error:0.062644	eval-error:0.07585
[433]	train-error:0.062523	eval-error:0.076456
