id	line	column	filename	methodname	varname	vartype	else	return	right
1373	196	12	AsyncSubject.java	add	b	AsyncDisposable<T>[]	0	RET	subscribers.compareAndSet(a, $)
1374	211	12	AsyncSubject.java	remove	n	int	0	RET	$ == 0
58180	216	12	AsyncSubject.java	remove	i	int	0	NIL-FOR	$ < n
58180	216	12	AsyncSubject.java	remove	n	int	0	NIL-FOR	i < $
1375	217	16	AsyncSubject.java	remove	i	int	0	DEF	a[$] == ps
1375	217	16	AsyncSubject.java	remove	a	AsyncDisposable<T>[]	0	DEF	$[i] == ps
1375	217	16	AsyncSubject.java	remove	ps	AsyncDisposable<T>	0	DEF	a[i] == $
1376	223	12	AsyncSubject.java	remove	j	int	0	RET	$ < 0
1377	229	12	AsyncSubject.java	remove	n	int	1	DEF	$ == 1
1378	236	12	AsyncSubject.java	remove	THIS	AsyncSubject	0	RET	$.subscribers.compareAndSet(a, b)
1378	236	12	AsyncSubject.java	remove	a	AsyncDisposable<T>[]	0	RET	subscribers.compareAndSet($, b)
1378	236	12	AsyncSubject.java	remove	b	AsyncDisposable<T>[]	0	RET	subscribers.compareAndSet(a, $)
1379	280	8	AsyncSubject.java	getValues	v	T	0	RET	$ == null
1380	281	12	AsyncSubject.java	getValues	THIS	AsyncSubject	0	DEF	array.$.length != 0
1380	281	12	AsyncSubject.java	getValues	array	T[]	0	DEF	$.length != 0
1381	286	8	AsyncSubject.java	getValues	THIS	AsyncSubject	0	DEF	array.$.length == 0
1381	286	8	AsyncSubject.java	getValues	array	T[]	0	DEF	$.length == 0
1382	290	8	AsyncSubject.java	getValues	THIS	AsyncSubject	0	DEF	array.$.length != 1
1382	290	8	AsyncSubject.java	getValues	array	T[]	0	DEF	$.length != 1
325	36	8	BackpressureHelper.java	addCap	u	long	0	RET	$ < 0L
326	50	8	BackpressureHelper.java	multiplyCap	a	long	0	RET	(($ | b) >>> 31) != 0
326	50	8	BackpressureHelper.java	multiplyCap	b	long	0	RET	((a | $) >>> 31) != 0
327	51	12	BackpressureHelper.java	multiplyCap	u	long	0	RET	$ / a != b
327	51	12	BackpressureHelper.java	multiplyCap	a	long	0	RET	u / $ != b
327	51	12	BackpressureHelper.java	multiplyCap	b	long	0	RET	u / a != $
328	68	12	BackpressureHelper.java	add	r	long	0	RET	$ == Long.MAX_VALUE
329	72	12	BackpressureHelper.java	add	r	long	0	RET	requested.compareAndSet($, u)
329	72	12	BackpressureHelper.java	add	u	long	0	RET	requested.compareAndSet(r, $)
329	72	12	BackpressureHelper.java	add	requested	AtomicLong	0	RET	$.compareAndSet(r, u)
330	89	12	BackpressureHelper.java	addCancel	r	long	0	RET	$ == Long.MIN_VALUE
331	92	12	BackpressureHelper.java	addCancel	r	long	0	RET	$ == Long.MAX_VALUE
332	96	12	BackpressureHelper.java	addCancel	r	long	0	RET	requested.compareAndSet($, u)
332	96	12	BackpressureHelper.java	addCancel	u	long	0	RET	requested.compareAndSet(r, $)
332	96	12	BackpressureHelper.java	addCancel	requested	AtomicLong	0	RET	$.compareAndSet(r, u)
333	111	12	BackpressureHelper.java	produced	current	long	0	RET	$ == Long.MAX_VALUE
334	115	12	BackpressureHelper.java	produced	update	long	0	DEF	$ < 0L
335	119	12	BackpressureHelper.java	produced	current	long	0	RET	requested.compareAndSet($, update)
335	119	12	BackpressureHelper.java	produced	update	long	0	RET	requested.compareAndSet(current, $)
335	119	12	BackpressureHelper.java	produced	requested	AtomicLong	0	RET	$.compareAndSet(current, update)
336	135	12	BackpressureHelper.java	producedCancel	current	long	0	RET	$ == Long.MIN_VALUE
337	138	12	BackpressureHelper.java	producedCancel	current	long	0	RET	$ == Long.MAX_VALUE
338	142	12	BackpressureHelper.java	producedCancel	update	long	0	DEF	$ < 0L
339	146	12	BackpressureHelper.java	producedCancel	current	long	0	RET	requested.compareAndSet($, update)
339	146	12	BackpressureHelper.java	producedCancel	update	long	0	RET	requested.compareAndSet(current, $)
339	146	12	BackpressureHelper.java	producedCancel	requested	AtomicLong	0	RET	$.compareAndSet(current, update)
1265	145	8	BaseTestConsumer.java	fail	THIS	BaseTestConsumer	0	DEF	$.timeout
1266	149	8	BaseTestConsumer.java	fail	THIS	BaseTestConsumer	0	DEF	$.isDisposed()
1267	154	8	BaseTestConsumer.java	fail	tag	CharSequence	0	DEF	$ != null
1268	164	8	BaseTestConsumer.java	fail	THIS	BaseTestConsumer	0	DEF	$.errors.isEmpty()
1269	165	12	BaseTestConsumer.java	fail	THIS	BaseTestConsumer	1	DEF	$.errors.size() == 1
1270	183	8	BaseTestConsumer.java	await	THIS	BaseTestConsumer	0	RET	$.done.getCount() == 0
1271	215	8	BaseTestConsumer.java	assertComplete	c	long	1	DEF	$ == 0
1272	218	8	BaseTestConsumer.java	assertComplete	c	long	0	DEF	$ > 1
1273	231	8	BaseTestConsumer.java	assertNotComplete	c	long	1	DEF	$ == 1
1274	234	8	BaseTestConsumer.java	assertNotComplete	c	long	0	DEF	$ > 1
1275	247	8	BaseTestConsumer.java	assertNoErrors	s	int	0	DEF	$ != 0
1276	291	8	BaseTestConsumer.java	assertError	s	int	0	DEF	$ == 0
1277	299	16	BaseTestConsumer.java	assertError	THIS	BaseTestConsumer	0	DEF	errorPredicate.test($.e)
1277	299	16	BaseTestConsumer.java	assertError	errorPredicate	Predicate<Throwable>	0	DEF	$.test(e)
